target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,blank.started,text.started,blank.stopped,text.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
f3,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,l,1,1.3265599999576807,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2E,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,a,1,0.9733739000512287,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2H,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,l,1,2.434519900009036,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H8,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,l,1,1.156955900019966,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9g,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,l,1,1.730471400078386,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,l,1,0.6733968999469653,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e4,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,l,1,1.4265733000356704,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9h,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,a,1,0.8058426000643522,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
G3,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,a,1,1.2245487000327557,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9A,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,a,1,0.8195554000558332,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H5,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,a,1,2.078607099945657,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4e,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,l,1,1.3512336999410763,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
E2,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,a,1,2.1337504000402987,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A5,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,a,1,0.7721741000423208,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2A,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,l,1,2.272490100003779,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6G,2,2,6.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,l,1,0.8182368000270799,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H3,1,1,H,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,a,1,1.1727498000254855,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H2,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,a,1,0.5290849000448361,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e9,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,a,1,1.4882115001091734,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2G,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,l,1,0.7440800999756902,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,l,1,2.134531799936667,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H6,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,a,1,2.388894799980335,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A4,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,l,1,1.3937640999210998,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3F,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,a,1,2.622459699981846,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7e,1,1,e,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,l,1,0.9622595999389887,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
F9,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,,,a,1,0.9430135000729933,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e2,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,,,l,1,3.3648054000223055,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5F,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,,,a,1,1.0194884999655187,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
f6,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,,,,,l,1,1.51852190005593,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7G,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,,,,,a,1,1.1415726999985054,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e6,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,62,62,62,,,,,,,,,,,,,,,,,,,,,l,1,1.6590882999589667,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3G,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,63,63,63,,,,,,,,,,,,,,,,,,,,,a,1,1.4692098998930305,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,,,,,a,1,1.3828092999756336,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A6,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,,,,,a,1,0.5796205999795347,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
E3,2,1,3.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,,,,,a,1,0.895807099994272,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2f,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,,,,,l,1,1.2803909999784082,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
g3,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,,,,,l,1,1.5128802999388427,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
E8,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,,,,,a,1,0.7608542999951169,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6g,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,,,,,l,1,0.7821476999670267,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,,,,,a,1,1.4985875999554992,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4A,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,,,,,a,1,1.0351620999863371,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,,,,,a,1,0.8450101000489667,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6H,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,,,,,l,1,1.087464899988845,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3a,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,,,,,l,0,1.0071834999835119,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9F,1,1,F,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,,,,,a,1,1.4587099000345916,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
G7,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,,,,,a,1,1.092771299998276,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a6,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,,,,,l,1,2.069069499964826,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4h,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,,,,,l,1,0.878214200027287,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6A,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,a,1,0.938791900058277,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,a,1,1.1620438999962062,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3H,2,1,3.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,a,1,1.446785100037232,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a9,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,a,1,1.0008055999642238,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
E7,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,a,1,0.9646966999862343,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,l,1,0.7938507000217214,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8A,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,a,0,1.0774839000077918,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
f5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,a,1,2.711041499977,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,l,1,1.1109158999752253,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
F7,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,a,1,0.8146381999831647,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h2,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,l,1,0.9781110000330955,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
F5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,a,1,0.9109828000655398,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A9,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,a,1,2.1263237999519333,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,l,1,1.2290713000111282,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
f8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,l,1,1.192070999997668,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
G2,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,l,1,1.675995699944906,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
F2,1,1,F,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,a,1,3.725368600105867,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,l,1,1.2296659999992698,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A3,2,1,3.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,a,1,0.9681724000256509,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4g,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,l,1,0.9329056000569835,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h7,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,l,1,1.356431399937719,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3g,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,l,1,0.5612208000384271,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8a,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,l,1,1.3667737999930978,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4E,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,l,1,1.1313140999991447,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
E5,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,a,1,0.9703778000548482,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
g6,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,l,1,0.7835601000115275,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
2e,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,l,1,1.1712456999812275,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h8,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,l,1,0.8159683000994846,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
G6,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,a,1,0.5792107000015676,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a4,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,l,1,0.6077367999823764,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9H,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,a,1,1.2838391000404954,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
7H,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,a,1,1.0996238999068737,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,l,1,0.9394483999349177,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8E,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,a,1,1.4736830000765622,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A2,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,l,1,0.9786575000034645,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,a,1,1.1749970000237226,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
h9,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,l,1,3.9004799000686035,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
8G,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,a,1,1.3010268000653014,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H4,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,l,1,1.396898700040765,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
A8,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,l,1,2.0086918000597507,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
g7,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,l,1,1.5094095999374986,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
H9,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,a,1,1.2611938000191003,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
9E,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,a,1,1.7099876999855042,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
a5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,a,1,1.029685299959965,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
3E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,a,1,1.6805039000464603,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
6f,1,2,f,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,l,1,0.770279600052163,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
g8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,l,1,1.670479099964723,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4F,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,l,1,1.9036563999252394,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
4a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,l,1,0.7840025000041351,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
e3,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,l,1,1.003750400035642,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
5g,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,a,1,1.255503399996087,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
f4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,l,1,0.9603921000380069,,,,,,,,,,,,sxc,m,22,2024-04-11_15h34.28.642,mian,2022.2.4,60.01774128159565,
