target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate
3H,2,1,3,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,a,1,1.3578434,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a9,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,a,1,0.9213813,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E7,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,a,1,0.6681093,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,l,1,0.7124813,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8A,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,l,1,1.2796324,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,a,1,0.7308801,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,l,1,0.9698462,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F7,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,a,1,0.6895327,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h2,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,l,1,0.97325,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,a,1,0.7628393,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A9,1,1,A,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,a,1,0.8272212,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,l,1,0.6693798,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f8,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,l,1,1.2962516,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G2,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,l,1,0.7043203,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F2,1,1,F,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,a,1,1.3336391,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,l,1,0.6331073,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A3,2,1,3,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,a,1,1.3584159,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4g,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,l,1,0.7595365,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h7,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,l,1,1.7347835,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3g,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,l,1,2.137967,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8a,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,l,1,0.7365694,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4E,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,l,1,0.5254864,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E5,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,a,1,0.6107428,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g6,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,l,1,0.8075892,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2e,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,l,1,2.735059,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h8,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,l,1,0.7186284,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G6,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,a,1,1.8185239,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a4,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,l,1,0.7082224,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9H,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,a,1,4.054518,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7H,2,2,7,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,a,1,2.1129209,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8E,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,a,1,0.625201,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A2,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,l,1,2.0362907,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H7,2,2,7,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,a,1,1.546161,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h9,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,l,1,2.3381202,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8G,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,a,1,0.6954186,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H4,2,1,4,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,l,1,3.2678847,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A8,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,l,1,0.6781365,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g7,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,l,1,0.612979,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
H9,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,a,1,0.6316837,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9E,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,a,1,0.9074499,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
a5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,a,1,1.0256227,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
3E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,a,1,1.0882098,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6f,1,2,f,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,l,1,0.5113655,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g8,2,1,8,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,l,1,0.7500499,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4F,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,l,1,0.8065454,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,l,1,1.2228563,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e3,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,l,1,0.4669328,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5g,2,1,5,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,a,1,0.9850883,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f4,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,l,1,0.5249649,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,a,1,1.4620685,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7A,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,a,1,0.4720926,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F4,2,1,4,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,l,1,1.4235453,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2g,2,2,2,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,l,1,0.5937621,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7E,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,a,1,0.785667,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G4,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,a,1,0.5409167,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
2F,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,l,1,1.2881483,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
E9,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,a,1,0.8068722,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
5f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,l,1,1.0810341,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
e7,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,l,1,0.6550229,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
f2,2,1,2,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,62,62,62,,,,,,,,,,,,,,,,,l,1,0.6119543,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G9,2,2,9,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,63,63,63,,,,,,,,,,,,,,,,,a,1,0.993656,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7g,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,64,64,64,,,,,,,,,,,,,,,,,l,1,1.4269552,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F8,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,65,65,65,,,,,,,,,,,,,,,,,a,1,1.1478998,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
A7,2,1,7,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,66,66,66,,,,,,,,,,,,,,,,,a,1,2.1870954,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
4G,2,2,4,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,67,67,67,,,,,,,,,,,,,,,,,l,1,0.5517679,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g2,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,68,68,68,,,,,,,,,,,,,,,,,l,1,1.2286061,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g4,1,2,g,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,69,69,69,,,,,,,,,,,,,,,,,l,1,0.6035957,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
7a,2,1,7,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,70,70,70,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
8e,2,2,8,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,71,71,71,,,,,,,,,,,,,,,,,l,1,2.1461987,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,72,72,72,,,,,,,,,,,,,,,,,l,1,1.6039557,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G8,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,73,73,73,,,,,,,,,,,,,,,,,a,1,0.6128055,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
6F,2,1,6,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,74,74,74,,,,,,,,,,,,,,,,,a,0,1.536117,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
g5,2,2,5,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,75,75,75,,,,,,,,,,,,,,,,,a,1,0.9245661,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
G5,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,76,76,76,,,,,,,,,,,,,,,,,l,0,0.647187,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
h5,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,,,,,0,77,77,77,,,,,,,,,,,,,,,,,l,1,2.7162245,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
9G,2,1,9,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,78,78,78,,,,,,,,,,,,,,,,,a,1,1.586006,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
F3,2,2,3,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,,,,,0,79,79,79,,,,,,,,,,,,,,,,,a,1,0.7530602,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1641,mian,2021.2.3,60.18697686
,,,,,,0,1,pic/flanker6.png,pic/flanker2.png,a,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,486.9820776,None,485.7877921,486.9990805,a,1,圣洁,k,1,0.7148641,0.5723433,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,0,pic/flanker6.png,pic/flanker4.png,s,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,490.3822402,None,489.1989425,490.3990448,s,1,浪费,l,1,0.7274651,0.5195902,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,1,pic/flanker6.png,pic/flanker4.png,s,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,493.6323988,None,492.4490288,493.6490059,s,1,秀丽,k,1,0.475065,0.7758638,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,0,pic/flanker5.png,pic/flanker1.png,s,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,496.9489253,None,495.7655728,496.965575,s,1,焦躁,l,1,1.3116717,0.540427,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,0,pic/flanker5.png,pic/flanker3.png,a,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,500.682425,None,499.4987291,500.6989812,a,1,损害,l,1,0.7023989,0.5219044,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,0,pic/flanker6.png,pic/flanker2.png,a,l,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,503.815591,None,502.6323081,503.8322947,a,1,伤心,l,1,0.5397019,0.46374,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,1,pic/flanker5.png,pic/flanker1.png,s,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,506.7656272,None,505.582372,506.7822539,s,1,丰满,l,0,0.4155098,1.1927641,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,1,pic/flanker5.png,pic/flanker3.png,a,k,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,510.3323231,None,509.1489575,510.3488912,None,0,廉洁,k,1,0.6490373,,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,1,pic/flanker5.png,pic/flanker1.png,s,k,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,72,,,,529.498971,None,528.2983262,529.498971,s,1,富丽,k,1,0.5539716,0.6088278,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,1,pic/flanker5.png,pic/flanker1.png,s,k,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,532.5156184,None,531.3322482,532.5323823,s,1,廉洁,k,1,0.5552342,0.5009554,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,1,pic/flanker6.png,pic/flanker4.png,s,k,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,6,,,,535.5823298,None,534.3987895,535.5990825,s,1,俊秀,k,1,0.6936266,0.6461388,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,1,pic/flanker6.png,pic/flanker4.png,s,k,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,38,,,,538.7822131,None,537.59874,538.7989555,s,1,富足,k,1,0.5149967,0.5874212,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,0,pic/flanker6.png,pic/flanker2.png,a,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,57,,,,541.8323768,None,540.648998,541.8489371,a,1,冷笑,l,1,0.4511796,0.6145161,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,0,pic/flanker5.png,pic/flanker3.png,a,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,47,,,,544.7987701,None,543.615545,544.8155857,a,1,烦恼,l,1,0.5444283,0.5782309,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,1,pic/flanker5.png,pic/flanker3.png,a,k,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,76,,,,547.9157097,None,546.7322344,547.9323239,a,1,典雅,k,1,0.5501003,0.5196848,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,0,pic/flanker6.png,pic/flanker2.png,a,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,9,,,,550.9321984,None,549.7491698,550.9488963,a,1,郁闷,l,1,0.648246,0.3688262,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,0,pic/flanker5.png,pic/flanker1.png,s,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,75,,,,554.0156719,None,552.832235,554.0323387,s,1,嘲笑,l,1,0.6339278,0.7894736,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,0,pic/flanker6.png,pic/flanker2.png,a,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,49,,,,557.2821308,None,556.0988986,557.2989352,a,1,落后,l,1,0.9563792,0.4047589,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,0,pic/flanker5.png,pic/flanker1.png,s,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,19,,,,560.682144,None,559.498976,560.6991359,s,1,焦躁,l,1,0.6325295,0.5235237,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,1,pic/flanker6.png,pic/flanker4.png,s,k,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,22,,,,563.6655237,None,562.4821779,563.6821678,s,1,丰满,k,1,0.5944702,0.5354436,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,0,1,pic/flanker5.png,pic/flanker1.png,s,k,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,56,,,,566.6483505,None,565.4655817,566.6654428,s,1,圣洁,k,1,0.5619235,0.4077892,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
,,,,,,1,0,pic/flanker5.png,pic/flanker3.png,a,l,pic/AffRest1.png,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,39,,,,569.5647746,None,568.3822846,569.5819288,a,1,罚款,l,1,0.5604206,0.4855131,gsx,f,19,2024_Apr_17_1708,mian,2021.2.3,60.02022682
